source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
Aguiar Macêdo JM de; Rebelo D	Aguiar Macêdo JM de	parsed:Aguiar Macêdo JM de<SEP>D. Rebelo	cleaned:<SEP>D. Rebelo	cleaned_0index:0
Aguiar Macêdo JM de; Rebelo D; Macuácua L	Aguiar Macêdo JM de	parsed:Aguiar Macêdo JM de<SEP>D. Rebelo<SEP>L. Macuácua	cleaned:<SEP>D. Rebelo<SEP>L. Macuácua	cleaned_0index:0
Aguirre Ceballos J; Gradstein SR				cleaned_0index:0
Aguirre Ceballos J; Gradstein SR; Santana E				cleaned_0index:0
Aguirre Ceballos J; Gradstein SR; Santana ES				cleaned_0index:0
Aguirre Ceballos J; Gradstein SR; Zanten BO van				cleaned_0index:0
Aguirre Ceballos J; Gradstein SR; Zanten BO van; Linares E				cleaned_0index:0
Aguirre Ceballos J; Gradstein SR; et al.				cleaned_0index:0
Ajoeb; Expeditie Jacobson	Expeditie Jacobson	parsed:Ajoeb<SEP>Expeditie Jacobson	cleaned:Ajoeb<SEP>	cleaned_0index:1
Ajoeb; Expeditie van Vuuren	Expeditie van Vuuren	parsed:Ajoeb<SEP>Expeditie van Vuuren	cleaned:Ajoeb<SEP>	cleaned_0index:1
Aken van				cleaned_0index:0
Akerblom NV; Unreadable	Unreadable	parsed:N.V. Akerblom<SEP>Unreadable	cleaned:N.V. Akerblom<SEP>	cleaned_0index:1
Akeroyd JR; Goyder DJ; Jury SL				cleaned_0index:0
Akeroyd JR; Jury SL; Miles CJ; Rumsey FJ				cleaned_0index:0
Akeroyd JR; Jury SL; Rumsey FJ				cleaned_0index:0
Akeroyd JR; Jury SL; Rumsey FJ; Simpson MJ				cleaned_0index:0
Alain (Brother); Unreadable	Unreadable	parsed:Alain<SEP>Unreadable	cleaned:Alain<SEP>	cleaned_0index:1
Alamelu S; Carnatic Flora Project	Carnatic Flora Project	parsed:S. Alamelu<SEP>Carnatic Flora Project	cleaned:S. Alamelu<SEP>	cleaned_0index:1
Albatros Expedition	Albatros Expedition	parsed:Albatros Expedition		cleaned_0index:0
Albuquerque BWP de; Coêlho L; Mello F	Albuquerque BWP de	parsed:Albuquerque BWP de<SEP>L. Coêlho<SEP>F. Mello	cleaned:<SEP>L. Coêlho<SEP>F. Mello	cleaned_0index:0
Albuquerque BWP de; Coêlho LF; Mello F	Albuquerque BWP de	parsed:Albuquerque BWP de<SEP>L.F. Coêlho<SEP>F. Mello	cleaned:<SEP>L.F. Coêlho<SEP>F. Mello	cleaned_0index:0
Albuquerque BWP de; Lima J	Albuquerque BWP de	parsed:Albuquerque BWP de<SEP>J. Lima	cleaned:<SEP>J. Lima	cleaned_0index:0
Albuquerque BWP de; Lima L; Lima J	Albuquerque BWP de	parsed:Albuquerque BWP de<SEP>L. Lima<SEP>J. Lima	cleaned:<SEP>L. Lima<SEP>J. Lima	cleaned_0index:0
Albuquerque BWP de; Mota CDA; Oliveira JG de	Albuquerque BWP de	parsed:Albuquerque BWP de<SEP>C.D.A. Mota<SEP>J.G. Oliveira	cleaned:<SEP>C.D.A. Mota<SEP>J.G. Oliveira	cleaned_0index:0
Albuquerque BWP de; et al.	Albuquerque BWP de	parsed:Albuquerque BWP de		cleaned_0index:0
Alders C; Laan D van der	Laan D van der	parsed:C. Alders<SEP>Laan D van der	cleaned:C. Alders<SEP>	cleaned_0index:1
Alders K; Laan D van der	Laan D van der	parsed:K. Alders<SEP>Laan D van der	cleaned:K. Alders<SEP>	cleaned_0index:1
Alencar L; Projeto Flora Amazônica	Projeto Flora Amazônica	parsed:L. Alencar<SEP>Projeto Flora Amazônica	cleaned:L. Alencar<SEP>	cleaned_0index:1
Alg_unreadable	Alg_unreadable	parsed:Alg_unreadable		cleaned_0index:0
Alg_unreadable; !	Alg_unreadable	parsed:Alg_unreadable		cleaned_0index:0
Alg_unreadable; Barbieri RL	Alg_unreadable	parsed:Alg_unreadable<SEP>R.L. Barbieri	cleaned:<SEP>R.L. Barbieri	cleaned_0index:0
Alg_unreadable; Oudemans	Alg_unreadable	parsed:Alg_unreadable<SEP>Oudemans	cleaned:<SEP>Oudemans	cleaned_0index:0
