occurrenceID,verbatimName,alternateName,displayOrder,name,agentType,action,agentIdentifierType,attributionRemarks,identifier
http://id.snsb.info/snsb/collection/665485/723853/371611,"Cunningham, R.",R. Cunningham,0,Richard Cunningham,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q4212532
https://je.jacq.org/JE04005085,"Cunningham,R.O.",R.O. Cunningham,0,Robert Oliver Cunningham,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q7348142
https://herbarium.bgbm.org/object/B200108195b,"Curdie,D.",D. Curdie,0,Daniel Curdie,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q102039469
https://je.jacq.org/JE04007274,"Curnow,W.",W. Curnow,0,William Curnow,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509664
http://id.snsb.info/snsb/collection/504801/626136/283742,"Curran, H.M. (no. FB 3473)",H.M. Curran,0,Hugh McCullum Curran,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q5904341
http://id.snsb.info/snsb/collection/196278/480353/178054,"Curtis, C.",C. Curtis,0,Charles Curtis,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q5076604
http://id.snsb.info/snsb/collection/119055/177854/120000,"Curtiss, A.H. (no. 246)",A.H. Curtiss,0,Allen Hiram Curtiss,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q16031427
https://herbarium.bgbm.org/object/B100278253,"Cusick,W.C.",W.C. Cusick,0,William Conklin Cusick,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q23302886
https://je.jacq.org/JE00024566,"Czeczott,H.",H. Czeczott,0,Hanna Czeczott,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q5891798
https://herbarium.bgbm.org/object/B101041295,"Czetz,A.",A. Czetz,0,Antal Czetz,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q899962
https://herbarium.bgbm.org/object/B100002160,"Czukavina,A.P. & Lasareva,M.S.",A.P. Czukavina,0,Anna Prokofevna Czukavina,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q15974682
http://id.snsb.info/snsb/collection/675579/736302/382333,"Cárdenas, M. (no. 2953)",M. Cárdenas,0,Martín Cárdenas,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1844429
https://dr.jacq.org/DR049509,"D'Alleizette,C.",C. D'Alleizette,0,Charles d'Alleizette,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q5765026
http://id.snsb.info/snsb/collection/500093/621312/278896,"D'Orbigny, A. (no. 960)",A. D'Orbigny,0,Alcide d'Orbigny,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q344661
https://herbarium.bgbm.org/object/B101124844,"Dahl,F.",F. Dahl,0,Friedrich Dahl,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q73618
https://herbarium.bgbm.org/object/B100243254,"Dahlgren,B.E. & Sella,E.",B.E. Dahlgren,0,Bror Eric Dahlgren,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q5734290
http://id.snsb.info/snsb/collection/16564/25343/16384,"Dahlgren, R. (no. 347)",R. Dahlgren,0,Rolf Dahlgren,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q3049579
https://herbarium.bgbm.org/object/B100312626,"Dale,I.R.",I.R. Dale,0,Ivan Robert Dale,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21387617
https://herbarium.bgbm.org/object/B100127298,"Dalgaard,V.",V. Dalgaard,0,Vilhelm Dalgaard,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509731
http://id.snsb.info/snsb/collection/652113/708828/357778,"Dallachy, J.",J. Dallachy,0,John Dallachy,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q16065577
https://herbarium.bgbm.org/object/B100161703,"Daly,D.C., Callejas,R., da Silva,M.G., Taylor,E.L., Rosario,C. & dos Santos,M.R.",D.C. Daly,0,Douglas C. Daly,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21340093
https://herbarium.bgbm.org/object/B200147469A,"Dalzell,N.A.",N.A. Dalzell,0,Nicol Alexander Dalzell,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q4154159
http://id.snsb.info/snsb/collection/20123/28902/19943,"Dalziel, J.M. (no. 1418)",J.M. Dalziel,0,John McEwan Dalziel,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q2917982
