,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
3497,Cornelissen,J.H.C.,,,,,,,"Cornelissen, J.H.C.",1,https://je.jacq.org/JE04009313,2952.0,"Cornelissen, J.H.C.","Cornelissen, É.N.",0.807
4356,Dudley,,,,,,,,Dudley,3,https://herbarium.bgbm.org/object/B100145054,3673.0,Dudley,"Dudley, M.G.",0.807
5369,Forero,E.,,,,,,,"Forero, E.",7,http://id.snsb.info/snsb/collection/195868/479943/177644,4524.0,"Forero, E.","Forero, D.",0.807
6856,Haas,,,,,,,,Haas,11,https://herbarium.bgbm.org/object/B101167012,5787.0,Haas,"Haas, R.",0.807
7260,Hay,W.,,,,,,,"Hay, W.",1,https://herbarium.bgbm.org/object/B100154158,6141.0,"Hay, W.","Hay, W.D.",0.807
7410,Hellwig,,,,,,,,Hellwig,22,https://herbarium.bgbm.org/object/B101149273,6277.0,Hellwig,"Hellwig, F.C.",0.807
7433,Hemprich,F.G.,,,,,,,"Hemprich, F.G.",2,https://herbarium.bgbm.org/object/B100241175,6298.0,"Hemprich, F.G.","Hemprich, W.",0.807
7485,Henschel,,,,,,,,Henschel,1,https://herbarium.bgbm.org/object/B100263564,6340.0,Henschel,"Henschel, A.W.",0.807
7572,Herre,A.C.,,,,,,,"Herre, A.C.",1,https://herbarium.bgbm.org/object/B600159166,6420.0,"Herre, A.C.","Herre, A.W.",0.807
8371,Inglis,R.A.,,,,,,,"Inglis, R.A.",5,https://dr.jacq.org/DR063782,7106.0,"Inglis, R.A.","Inglis, J.",0.807
8925,Kallersjö,M.,,,,,,,"Kallersjö, M.",1,https://herbarium.bgbm.org/object/B100093172,7575.0,"Kallersjö, M.","Källersjö, M.",0.807
9515,Kohl,M.,,,,,,,"Kohl, M.",4,https://je.jacq.org/JE06003306,8035.0,"Kohl, M.","Kohl, H.",0.807
10740,Lindtner,,,,,,,,Lindtner,1,https://herbarium.bgbm.org/object/B100847893,9077.0,Lindtner,"Lindtner, V.H.",0.807
11520,Maron,R.,,,,,,,"Maron, R.",1,https://dr.jacq.org/DR015187,9721.0,"Maron, R.","Maron, C.",0.807
12338,Monod,,,,,,,,Monod,1,https://je.jacq.org/JE04001279,10422.0,Monod,"Monod, T.",0.807
13010,Nguyen,G.D.,,,,,,,"Nguyen, G.D.",436,https://herbarium.bgbm.org/object/B100745609,10989.0,"Nguyen, G.D.","Nguyen, D.",0.807
13389,Oliveira,P.L.,,,,,,,"Oliveira, P.L.",1,https://herbarium.bgbm.org/object/B100244463,11303.0,"Oliveira, P.L.","Oliveira, S.",0.807
14369,Polanco,M.,,,,,,,"Polanco, M.",1,https://herbarium.bgbm.org/object/B100034224,12133.0,"Polanco, M.","Polanco, C.D.",0.807
14525,Pratt,,,,,,,,Pratt,2,https://herbarium.bgbm.org/object/B100169837,12270.0,Pratt,"Pratt, A.",0.807
15463,Rochebrune,A. de,,,,,,,"Rochebrune, A. de",2,https://herbarium.bgbm.org/object/B100461217,13058.0,"Rochebrune, A. de","Rochebrune, A.T.d.",0.807
15651,Rosario,C.,,,,,,,"Rosario, C.",2,http://id.snsb.info/snsb/collection/668057/726667/374330,13233.0,"Rosario, C.","Rosario, J.B.",0.807
16719,Schultheiß,,,,,,,,Schultheiß,2,https://je.jacq.org/JE00014117,14130.0,Schultheiß,"Schultheis, L.M.",0.807
17632,Soza,D.,,,,,,,"Soza, D.",1,https://herbarium.bgbm.org/object/B100144979,14893.0,"Soza, D.","Roza, D.",0.807
19512,Vorster,,,,,,,,Vorster,1,https://herbarium.bgbm.org/object/B100153960,16435.0,Vorster,"Vorster, P.J.",0.807
