source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Buchanan. From & Rothschild Collection.	Rothschild Collection.	parsed:A. Buchanan<SEP>Rothschild Collection.	cleaned:A. Buchanan<SEP>	cleaned_0index:1
Abu-Musa I. & Coll. A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo & A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo & A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo & A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo & A. Dehghani				cleaned_0index:0
Abu-Musa I. & Coll. R. Naderloo & A. Dehghani & Coll. A. Dehghan				cleaned_0index:0
Abu-Musa I. & Coll. S. Ebrahimnezhad				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
Ac				cleaned_0index:0
A. C.	A. C.	parsed:A. C.		cleaned_0index:0
A. C. A.	A. C. A.	parsed:A. C. A.		cleaned_0index:0
Acarology & Entomology Department & Universidade	Entomology Department	parsed:Acarology<SEP>Entomology Department<SEP>Universidade	cleaned:Acarology<SEP><SEP>Universidade	cleaned_0index:1
Accession				cleaned_0index:0
Acciavatti & Savannah. Ga.	Savannah. Ga.	parsed:Acciavatti<SEP>Savannah. Ga.	cleaned:Acciavatti<SEP>	cleaned_0index:1
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No.	Acc. No.	parsed:Acc. No.		cleaned_0index:0
Acc. No. & H. H. Knight Collection	Acc. No.	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:0
Acc. No. & H. H. Knight Collection	H. H. Knight Collection	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:1
Acc. No. & H. H. Knight Collection	Acc. No.	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:0
Acc. No. & H. H. Knight Collection	H. H. Knight Collection	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:1
Acc. No. & H. H. Knight Collection	Acc. No.	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:0
Acc. No. & H. H. Knight Collection	H. H. Knight Collection	parsed:Acc. No.<SEP>H. H. Knight Collection	cleaned:<SEP>	cleaned_0index:1
Acc. No. & L. W. Saylor Collection	Acc. No.	parsed:Acc. No.<SEP>L. W. Saylor Collection	cleaned:<SEP>	cleaned_0index:0
Acc. No. & L. W. Saylor Collection	L. W. Saylor Collection	parsed:Acc. No.<SEP>L. W. Saylor Collection	cleaned:<SEP>	cleaned_0index:1
Acc. No. & Nov. A	Acc. No.	parsed:Acc. No.<SEP>Nov A	cleaned:<SEP>Nov A	cleaned_0index:0
