,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
8315,Janka,V.,,von,,,,,"Janka, V.",5,http://id.snsb.info/snsb/collection/506844/628226/285728,7095,"Janka, V.","Janka, V.v.",0.65
8487,Johnson,P.N.,,,,,,,"Johnson, P.N.",2,https://je.jacq.org/JE04003022,182,"Johnson, P.N.","Johnson, P.",0.65
8501,Jolly,A.,,,,,,,"Jolly, A.",1,https://herbarium.bgbm.org/object/B100153032,13560,"Jolly, A.","Jolly, B.",0.65
8552,Judd,R.,,,,,,,"Judd, R.",17,https://herbarium.bgbm.org/object/B100326844,3927,"Judd, R.","Judd, C.",0.65
8637,Jürgens,C.,,,,,,,"Jürgens, C.",33,https://herbarium.bgbm.org/object/B101182465,12208,"Jürgens, C.","Jürgens, N.",0.65
8838,Kegel,H.,,,,,,,"Kegel, H.",3,https://herbarium.bgbm.org/object/B200049163,10337,"Kegel, H.","Kegel, W.",0.65
260,Kerner,Anton Josef,,,,,,,"Kerner, Anton Josef",2,https://herbarium.bgbm.org/object/B100749175,224,"Kerner, Anton Josef","Kerner, Josef",0.65
8949,Khek,,,,,,,,Khek,4,https://herbarium.bgbm.org/object/B101001938,8129,Khek,"Khek, E.J.",0.65
9048,Kirschnek,,,,,,,,Kirschnek,1,https://herbarium.bgbm.org/object/B100510457,5548,Kirschnek,"Kirschner, J.",0.65
9431,Krause,Au,,,,,,,"Krause, Au",10,https://herbarium.bgbm.org/object/B180012138,14586,"Krause, Au","Krause, A.",0.65
9435,Krause,G.A.,,,,,,,"Krause, G.A.",3,https://herbarium.bgbm.org/object/B100154731,8693,"Krause, G.A.","Krause, G.R.",0.65
9439,Krause,O.,,,,,,,"Krause, O.",3,https://herbarium.bgbm.org/object/B100749189,10883,"Krause, O.","Krause, J.",0.65
9445,Krauss,N.,,,,,,,"Krauss, N.",1,https://herbarium.bgbm.org/object/B200046493,13169,"Krauss, N.","Krauss, G.",0.65
9558,Krüger,E.A.,,,,,,,"Krüger, E.A.",3,https://je.jacq.org/JE04000815,6174,"Krüger, E.A.","Krüger, Å.",0.65
9627,Kunth,,,,,,,,Kunth,12,https://herbarium.bgbm.org/object/B100088731,1806,Kunth,"Kunth, C.S.",0.65
9662,Kurz,M.,,,,,,,"Kurz, M.",1,https://herbarium.bgbm.org/object/B180001353,5536,"Kurz, M.","Kurz, A.",0.65
9721,Köhler,C.,,,,,,,"Köhler, C.",3,https://herbarium.bgbm.org/object/B100183494,16856,"Köhler, C.","Köhler, E.",0.65
9723,Köhler,G.,,,,,,,"Köhler, G.",5,https://herbarium.bgbm.org/object/B100273063,3216,"Köhler, G.","Köhler, E.",0.65
