recordedBy	occurrenceID_count	occurrenceID_first
Aedo,C., Muñoz Garmendia,F.& Navarro,C.	2	https://herbarium.bgbm.org/object/B101135602
Aedo,C., Muñoz,F., Alvarez,I. & Velayos & al.	1	https://herbarium.bgbm.org/object/B101042617
Aedo,C., Álvarez,I., Castroviejo,S., Morales,R., Muñoz,F, Velayos,M. & al	1	https://herbarium.bgbm.org/object/B101160623
Aedo,C., Álvarez,I., Navarro,C. & Valcárcel,V.	1	https://herbarium.bgbm.org/object/B101137596
Aellen, P.	8	http://id.snsb.info/snsb/collection/459127/559829/237976
Aellen, P. (no. 188)	1	http://id.snsb.info/snsb/collection/490952/603188/272836
Aellen, P. (no. 3327)	1	http://id.snsb.info/snsb/collection/673863/734025/380477
Aellen, P. (no. 5351)	2	http://id.snsb.info/snsb/collection/676954/738361/383720
Aellen,P.	14	https://herbarium.bgbm.org/object/B100086274
Aellen,P. & Aellen,Y.	2	https://herbarium.bgbm.org/object/B100272140
Aellen,P. & Baumgartner,W.	2	https://herbarium.bgbm.org/object/B101052726
Aellen,P. & Esfandiari,E.	12	https://herbarium.bgbm.org/object/B100277453
Aellen,P. & Rechinger,K.H.	1	https://herbarium.bgbm.org/object/B100241850
Aellen,P., Esfandiari,E., Rechinger,K.H. & Rechinger,F.	1	https://herbarium.bgbm.org/object/B100093331
Aetik,R.	1	https://herbarium.bgbm.org/object/B100124175
Afanassiev, C.S.	1	http://id.snsb.info/snsb/collection/469267/575570/248219
Afanassiev,K.	1	https://je.jacq.org/JE00005372
Affeld	2	https://herbarium.bgbm.org/object/B180003126
Affelt	1	https://herbarium.bgbm.org/object/B180003455
Afonina,O.M.	2	https://je.jacq.org/JE04009152
Afzali,M., Cecchi,L. & Soltani,S.	1	https://herbarium.bgbm.org/object/B101042647
Afzelius	91	https://herbarium.bgbm.org/object/B180003376
Afzelius,A.	10	https://herbarium.bgbm.org/object/B100153062
Afzelius,A. & Daniell,W.F.	1	https://herbarium.bgbm.org/object/B100068937
Afzelius,K.	1	https://herbarium.bgbm.org/object/B100160845
Aghababyan,M.	5	https://herbarium.bgbm.org/object/B100506539
Aghababyan,M., Hein,P. & Raab-Straube,E. von	96	https://herbarium.bgbm.org/object/B100576238
Agnew,A.D.Q.	1	https://herbarium.bgbm.org/object/B100217805
Agnew,A.D.Q. et al.	1	https://je.jacq.org/JE00019301
Agudelo,N.	1	https://herbarium.bgbm.org/object/B100576861
Aguiar de Newton,F.X.O.	1	https://herbarium.bgbm.org/object/B100154587
Aguila,M. del, Davidson,J. & Garcia,V.	1	https://herbarium.bgbm.org/object/B100522516
Aguilar	1	https://herbarium.bgbm.org/object/B100763978
Aguilar Barrientos, José Wilfredo	1	https://herbarium.bgbm.org/object/B100763943
Aguilar R.,M.	2	https://herbarium.bgbm.org/object/B101141309
Aguilar San Miguel, M.	7	http://id.snsb.info/snsb/collection/670965/730509/377334
Aguilar Segura,J.A.	1	https://herbarium.bgbm.org/object/B101247915
Aguilar,R.	71	https://herbarium.bgbm.org/object/B101112646
Aguilar,R. & González,J.	2	https://herbarium.bgbm.org/object/B101142724
Aguilar,R. & Schmidt,H.	1	https://herbarium.bgbm.org/object/B10114830
Aguilar,R., Guzmán,V. & Araya,R.	1	https://herbarium.bgbm.org/object/B101144332
Aguilar,R., Martín,N., Formoso,C. & Grayum,M.	2	https://herbarium.bgbm.org/object/B100676618
Aguilar,R., Zamora,N., Kim,S.-Y., Villalobos,G. & Solorzano,D.	1	https://herbarium.bgbm.org/object/B101138024
Aguilella,A.	1	https://herbarium.bgbm.org/object/B101204972
Aguilella,A. & Mateu,I.	2	https://herbarium.bgbm.org/object/B101201992
Aguilella,A. & al.	1	https://herbarium.bgbm.org/object/B100358370
Aguilera,M.D.	2	https://herbarium.bgbm.org/object/B100076588
Aguirre C.,J.	1	https://herbarium.bgbm.org/object/B600029526
Aguirre C.,J. & Sipman,H.J.M.	3	https://herbarium.bgbm.org/object/B600059263
Aguirre,C.J. & Sipman,H.J.M.	3	https://herbarium.bgbm.org/object/B600044745
Aguirre,C.J., Gradstein,S.R. & van Zanten,B.	1	https://herbarium.bgbm.org/object/B300259443
Aguirre,J. & Sipman,H.J.M.	2	https://herbarium.bgbm.org/object/B600172592
Ahagen, Schiers,C. & al.	1	https://herbarium.bgbm.org/object/B100194646
Ahern's Collector (no. 3281)	1	http://id.snsb.info/snsb/collection/24100/32878/23670
Ahern's collector	5	https://herbarium.bgbm.org/object/B200129165
Ahern's collector (no. FB 421)	1	http://id.snsb.info/snsb/collection/645900/700960/351550
Ahern's,collector	2	https://herbarium.bgbm.org/object/B100278795
Ahern, G.P. (no. 470)	1	http://id.snsb.info/snsb/collection/645990/701050/351640
Ahern, G.P. (no. 747)	1	http://id.snsb.info/snsb/collection/645993/701053/351643
Ahern,G.P.	1	https://herbarium.bgbm.org/object/B100295041
Aherns	1	https://herbarium.bgbm.org/object/B100278520
Ahlberg	2	https://dr.jacq.org/DR080732
Ahlberg & Axell	1	https://herbarium.bgbm.org/object/B100749062
Ahlberg,F.	10	https://dr.jacq.org/DR058944
Ahlberg,J.	1	https://herbarium.bgbm.org/object/B100068987
Ahlberg,N.F.	2	https://dr.jacq.org/DR048946
Ahles	1	https://herbarium.bgbm.org/object/B600101029
Ahles,H.E.	1	https://herbarium.bgbm.org/object/B101224042
Ahlgrimm	2	https://herbarium.bgbm.org/object/B180003482
Ahlm,J.	23	https://herbarium.bgbm.org/object/B101137302
Ahlm,J. & Hederås,J.-E.	1	https://herbarium.bgbm.org/object/B101137347
Ahmad,N.	2	https://herbarium.bgbm.org/object/B100848610
Ahmad,S.	4	https://herbarium.bgbm.org/object/B101097885
Ahman	1	https://herbarium.bgbm.org/object/B100474789
Ahrenberger,J.	3	https://herbarium.bgbm.org/object/B100384134
Ahtarov,B.	1	https://herbarium.bgbm.org/object/B100086502
Ahti,T.	11	https://herbarium.bgbm.org/object/B600325653
Ahti,T. & Donner,N.N.	2	https://herbarium.bgbm.org/object/B600325643
Ahti,T. & Ferraro,L.I.	2	https://herbarium.bgbm.org/object/B600325662
Ahti,T. & Filho,L.X.	5	https://herbarium.bgbm.org/object/B600325615
Ahti,T. & Lücking,R.	1	https://herbarium.bgbm.org/object/B600325617
Ahti,T. & al.	3	https://herbarium.bgbm.org/object/B600194854
Ahti,T. et al.	1	https://herbarium.bgbm.org/object/B600325624
Ahti,T., Clayden,S., Högnabba,F., Pitcher,M. & Hanel,C.	1	https://herbarium.bgbm.org/object/B600325607
Ahti,T., Figueiras,M.L. & Jorgensen,P.M.	2	https://herbarium.bgbm.org/object/B600325623
Ahti,T., Gruezo,W.S. & Tan,B.C.	10	https://herbarium.bgbm.org/object/B600325635
Ahti,T., Huber,O. & Pipoly,J.J.	15	https://herbarium.bgbm.org/object/B600325671
Ahti,T., Lücking,R. & Sipman,H.J.M.	2	https://herbarium.bgbm.org/object/B600192385
Ahti,T., Marcelli,M.P., Yano,O. & Brügger,M.	1	https://herbarium.bgbm.org/object/B600325450
Ahumada, L.Z.	1	http://id.snsb.info/snsb/collection/512566/635026/292131
Aichinger	1	https://herbarium.bgbm.org/object/B100461316
Aichinger von Aichenhayn,Josef	1	https://dr.jacq.org/DR073481
Aichinger,V.v.	1	https://herbarium.bgbm.org/object/B101015390
Aiello,F.	1	https://herbarium.bgbm.org/object/B600325526
Ailawai,S.K.	1	https://herbarium.bgbm.org/object/B100460736
Ailhaud,J.	3	https://herbarium.bgbm.org/object/B100384011
Ait Lafkih,M., Ajmi,S. Gardner,M.F. & Jury,S.L.	1	https://herbarium.bgbm.org/object/B100174430
Aitchison	5	https://herbarium.bgbm.org/object/B180001965
Aitchison, J.E.T. (no. 371)	1	http://id.snsb.info/snsb/collection/469029/575332/247981
Aitchison, J.E.T. (no. 602)	1	http://id.snsb.info/snsb/collection/491062/603298/272946
Aitchison,J.E.T.	17	https://je.jacq.org/JE00015377
Aiton	1	https://herbarium.bgbm.org/object/BW04693010
Aiton,G.B.	1	https://dr.jacq.org/DR050107
Aiton,W.T.	1	https://herbarium.bgbm.org/object/BW19753010
Aixart,M., Montserrat,J.M., Montserrat,M. & Pyke,S.	1	https://herbarium.bgbm.org/object/B100595254
Aizpuru,I.	1	https://herbarium.bgbm.org/object/B100356924
Aizpuru,I. & Muñoz,F.	1	https://herbarium.bgbm.org/object/B101201964
Ajtay, J. (no. 586)	1	http://id.snsb.info/snsb/collection/189772/220350/172140
Akan,H.	1	https://herbarium.bgbm.org/object/B100009765
Akeroyd,J.R., Jury,S.L., Miles,C.J. & Rumsey,F.J.	1	https://herbarium.bgbm.org/object/B100025212
Akeroyd,J.R., Jury,S.L., Moore,D.M. & Rumsey,F.J.	1	https://herbarium.bgbm.org/object/B100050066
Akeroyd,J.R., Jury,S.L., Rumsey,F.J. & Simpson,M.J.	5	https://herbarium.bgbm.org/object/B100025123
Akhani, H. (no. 11704)	1	http://id.snsb.info/snsb/collection/118034/176834/119064
Akhani, H. (no. 11918)	1	http://id.snsb.info/snsb/collection/490424/602660/272308
Akhani, H. (no. 12023)	2	http://id.snsb.info/snsb/collection/455667/556196/235147
Akhani, H. (no. 12322)	2	http://id.snsb.info/snsb/collection/455476/556004/234956
Akhani, H. (no. 12370)	1	http://id.snsb.info/snsb/collection/455603/556131/235083
Akhani, H. (no. 6706)	2	http://id.snsb.info/snsb/collection/463098/564256/241938
Akhani, H. (no. 8207)	1	http://id.snsb.info/snsb/collection/471214/580447/252298
Akhani,H.	3	https://herbarium.bgbm.org/object/B100365903
Akhani,H., Noormohammadi,A. & Samadi,N.	4	https://herbarium.bgbm.org/object/B100465444
Akhani,H., Samadi,N. & Noormohammadi,A.	1	https://herbarium.bgbm.org/object/B100465508
Akhlair,K. & Qaiser,M.	1	https://herbarium.bgbm.org/object/B100086752
Akhter,K. & Nazimuddin,S.	1	https://herbarium.bgbm.org/object/B100240393
Akhverdov	2	https://herbarium.bgbm.org/object/B100847958
Akhverdov [Ахвердов] & Mirzoeva [Мирзоева]	1	https://herbarium.bgbm.org/object/B100260192
Akinfiev,I. [Акинфиев,И.]	1	https://herbarium.bgbm.org/object/B101139689
