source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
AWeatherby	AWeatherby	parsed:AWeatherby		cleaned_0index:0
Abb. Cug[o]y, J.-B. Verlot				cleaned_0index:0
Abb. Faure, ab. Perret, Ad. Pellat, C.Arv. -Touv				cleaned_0index:0
Abbé Boullu in Dr. Pons et abbé Coste in F. Crépin - Herbarium Rosarum				cleaned_0index:0
Abbé Boullu, abbé Faure, C. Arvet-Touvet				cleaned_0index:0
Abbé Boullu. abbé Faure, C. Arvet-Touvet				cleaned_0index:0
Abbé Chevallier, R. de Montreuil				cleaned_0index:0
Abbé Coste, G Bimont				cleaned_0index:0
Abbé Coste, G. Bimont				cleaned_0index:0
Abbé D. [Duyany]	D.	parsed:D.		cleaned_0index:0
Abbé F[r]. Hy in Ch. Flahault				cleaned_0index:0
Abbé Faure, Abbé Perret Ad. Pellat, C. Arvet-Touvet				cleaned_0index:0
Abbé Faure, Abbé Perret, C. Arvet-Touvet, Ad. Pellat				cleaned_0index:0
Abbé Faure, C. Arvet-Touv.				cleaned_0index:0
Abbé Faure, C. Arvet-Touvet				cleaned_0index:0
Abbé Faure, abbé Perret, C. Arvet-Touvet				cleaned_0index:0
Abbé Guiguet, J.-B. Verlot, Abbé Faure				cleaned_0index:0
Abbé Guiguet, J.-B. Verlot, abbé Faure				cleaned_0index:0
Abbé Guiguet, J.B. Verlot, abbé Faure				cleaned_0index:0
Abbé Guétal, Abbé Faure, J.-B. Verlot				cleaned_0index:0
Abbé P[]ant	P	parsed:P		cleaned_0index:0
Abbé Perret, abbé Guiguet, C Arvet-Tonvet				cleaned_0index:0
Abbé Perret, abbé Guiguet, C. Arvet-Touvet				cleaned_0index:0
Abbé Puget, A. Cogniaux				cleaned_0index:0
Abbé Ravaud, R. Neyra				cleaned_0index:0
Abbé Ravaud, R. Neyra, C. Arvet-Touvet				cleaned_0index:0
Abbé Ravaud, abbé Guiguet, C. Arvet-Touvet				cleaned_0index:0
Abbé Soulié in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Soulié in F. Crépin<SEP>Herbarium Rosarum	cleaned:Soulié in F. Crépin<SEP>	cleaned_0index:1
Abbé Soulié, E. Monchot				cleaned_0index:0
Abbé Soutier in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Soutier in F. Crépin<SEP>Herbarium Rosarum	cleaned:Soutier in F. Crépin<SEP>	cleaned_0index:1
Abbé [Delcourt]				cleaned_0index:0
Abbé [Godard]				cleaned_0index:0
Abbé [Meda..]				cleaned_0index:0
Abbé [Misot]				cleaned_0index:0
Abbé ¨[Delcourt]				cleaned_0index:0
Ad de [Genssen]	Ad de	parsed:Ad de		cleaned_0index:0
Ad. Oborny in Cornaz in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Ad Oborny in Cornaz in F. Crépin<SEP>Herbarium Rosarum	cleaned:Ad Oborny in Cornaz in F. Crépin<SEP>	cleaned_0index:1
Ad.T. HP.	Ad.T. HP.	parsed:Ad.T. HP.		cleaned_0index:0
Adam Fr.	Adam Fr.	parsed:Adam Fr.		cleaned_0index:0
Adolf Oborny in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Adolf Oborny in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:Adolf Oborny in Christ in F. Crépin<SEP>	cleaned_0index:1
Adolf Steffer in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Adolf Steffer in F. Crépin<SEP>Herbarium Rosarum	cleaned:Adolf Steffer in F. Crépin<SEP>	cleaned_0index:1
Ag. Student	Ag. Student	parsed:Ag. Student		cleaned_0index:0
Agric. Assistant	Agric. Assistant	parsed:Agric. Assistant		cleaned_0index:0
Agricultural Department	Agricultural Department	parsed:Agricultural Department		cleaned_0index:0
Agricultural Dept.	Agricultural Dept.	parsed:Agricultural Dept.		cleaned_0index:0
Aimée Vibert in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Aimée Vibert in F. Crépin<SEP>Herbarium Rosarum	cleaned:Aimée Vibert in F. Crépin<SEP>	cleaned_0index:1
Ak				cleaned_0index:0
Akeroyd J., Brookes S., Farmer D. & Jury S.	Farmer D.	parsed:J. Akeroyd<SEP>S. Brookes<SEP>Farmer D.<SEP>S. Jury	cleaned:J. Akeroyd<SEP>S. Brookes<SEP><SEP>S. Jury	cleaned_0index:2
Al				cleaned_0index:0
Al Gentry, Emily Lott & UNAM tropical botany class	UNAM tropical botany class	parsed:Al Gentry<SEP>Emily Lott<SEP>UNAM tropical botany class	cleaned:Al Gentry<SEP>Emily Lott<SEP>	cleaned_0index:2
Al. Borza rev. K.H. Zahn.				cleaned_0index:0
Al. Borza, E.I. Nyárády et. C. Gürtler				cleaned_0index:0
Al. Borza, I. Grinţescu et. M. Péterfi				cleaned_0index:0
Al. Borza, † M. Péterfi & E. Pop				cleaned_0index:0
Al. Buia, M. Păun, . Maloş				cleaned_0index:0
Albrecht in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Albrecht in F. Crépin<SEP>Herbarium Rosarum	cleaned:Albrecht in F. Crépin<SEP>	cleaned_0index:1
Alexander V. Mechow's Expedition	Alexander V. Mechow's Expedition	parsed:Alexander V. Mechow's Expedition		cleaned_0index:0
Allen Coombes in N.Pyck, LV	LV	parsed:Allen Coombes in N. Pyck<SEP>LV	cleaned:Allen Coombes in N. Pyck<SEP>	cleaned_0index:1
Alp. Br.	Alp. Br.	parsed:Alp. Br.		cleaned_0index:0
Alp. Br. & G. Petten	Alp. Br.	parsed:Alp. Br.<SEP>G. Petten	cleaned:<SEP>G. Petten	cleaned_0index:0
Aludar Richter in F. Crépin - Herbarium rosarum	Herbarium rosarum	parsed:Aludar Richter in F. Crépin<SEP>Herbarium rosarum	cleaned:Aludar Richter in F. Crépin<SEP>	cleaned_0index:1
Alush Méndez G., (Alush Shilom Ton)				cleaned_0index:0
Am				cleaned_0index:0
Amb. Gentil in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Amb Gentil in F. Crépin<SEP>Herbarium Rosarum	cleaned:Amb Gentil in F. Crépin<SEP>	cleaned_0index:1
Amb. Gentil in F. Crépin Herbarium Rosarum	Amb. Gentil in F. Crépin Herbarium Rosarum	parsed:Amb. Gentil in F. Crépin Herbarium Rosarum		cleaned_0index:0
American Botanical Exchange	American Botanical Exchange	parsed:American Botanical Exchange		cleaned_0index:0
And				cleaned_0index:0
And.				cleaned_0index:0
And. Björk				cleaned_0index:0
And. Nolø				cleaned_0index:0
And. Sauder				cleaned_0index:0
And. de Ant. Jan				cleaned_0index:0
And[]				cleaned_0index:0
André Lawalrée, Md et Mr André Sotiaux, P. Duvignaud,G. Bruynseels et P. de Suttere				cleaned_0index:0
Annik De Wilde , Peter Schenck ,.............................				cleaned_0index:0
Anon	Anon	parsed:Anon		cleaned_0index:0
Ant. Le Grand in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:Ant Le Grand in F. Crépin<SEP>Herbarium Rosarum	cleaned:Ant Le Grand in F. Crépin<SEP>	cleaned_0index:1
Anton Sauter, Med. Dr.				cleaned_0index:0
